PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
24172901,Isolation and characterization of a bat SARS-like coronavirus that uses the ACE2 receptor,"Ge XY, Li JL, Yang XL, Chmura AA, Zhu G, Epstein JH, Mazet JK, Hu B, Zhang W, Peng C, Zhang YJ, Luo CM, Tan B, Wang N, Zhu Y, Crameri G, Zhang SY, Wang LF, Daszak P, Shi ZL.",Nature. 2013 Nov 28;503(7477):535-8. doi: 10.1038/nature12711. Epub 2013 Oct 30.,Ge XY,Nature,2013,11/1/13,PMC5389864,NIHMS525951,10.1038/nature12711
32342926,Properties of Coronavirus and SARS-CoV-2,Malik YA.,Malays J Pathol. 2020 Apr;42(1):3-11.,Malik YA,Malays J Pathol,2020,4/29/20,,,
26206723,"Bat-to-human: spike features determining 'host jump' of coronaviruses SARS-CoV, MERS-CoV, and beyond","Lu G, Wang Q, Gao GF.",Trends Microbiol. 2015 Aug;23(8):468-78. doi: 10.1016/j.tim.2015.06.003. Epub 2015 Jul 21.,Lu G,Trends Microbiol,2015,7/25/15,PMC7125587,,10.1016/j.tim.2015.06.003
30531947,Origin and evolution of pathogenic coronaviruses,"Cui J, Li F, Shi ZL.",Nat Rev Microbiol. 2019 Mar;17(3):181-192. doi: 10.1038/s41579-018-0118-9.,Cui J,Nat Rev Microbiol,2019,12/12/18,PMC7097006,,10.1038/s41579-018-0118-9
32247050,Insight into 2019 novel coronavirus - An updated interim review and lessons from SARS-CoV and MERS-CoV,"Xie M, Chen Q.",Int J Infect Dis. 2020 May;94:119-124. doi: 10.1016/j.ijid.2020.03.071. Epub 2020 Apr 1.,Xie M,Int J Infect Dis,2020,4/5/20,PMC7118633,,10.1016/j.ijid.2020.03.071
30849247,Broad-spectrum coronavirus antiviral drug discovery,"Totura AL, Bavari S.",Expert Opin Drug Discov. 2019 Apr;14(4):397-412. doi: 10.1080/17460441.2019.1581171. Epub 2019 Mar 8.,Totura AL,Expert Opin Drug Discov,2019,3/9/19,PMC7103675,,10.1080/17460441.2019.1581171
30646565,"From SARS to MERS, Thrusting Coronaviruses into the Spotlight","Song Z, Xu Y, Bao L, Zhang L, Yu P, Qu Y, Zhu H, Zhao W, Han Y, Qin C.",Viruses. 2019 Jan 14;11(1):59. doi: 10.3390/v11010059.,Song Z,Viruses,2019,1/17/19,PMC6357155,,10.3390/v11010059
32100877,Composition and divergence of coronavirus spike proteins and host ACE2 receptors predict potential intermediate hosts of SARS-CoV-2,"Liu Z, Xiao X, Wei X, Li J, Yang J, Tan H, Zhu J, Zhang Q, Wu J, Liu L.",J Med Virol. 2020 Jun;92(6):595-601. doi: 10.1002/jmv.25726. Epub 2020 Mar 11.,Liu Z,J Med Virol,2020,2/27/20,PMC7228221,,10.1002/jmv.25726
32123347,The species Severe acute respiratory syndrome-related coronavirus: classifying 2019-nCoV and naming it SARS-CoV-2,Coronaviridae Study Group of the International Committee on Taxonomy of Viruses.,Nat Microbiol. 2020 Apr;5(4):536-544. doi: 10.1038/s41564-020-0695-z. Epub 2020 Mar 2.,Coronaviridae Study Group of the International Committee on Taxonomy of Viruses,Nat Microbiol,2020,3/4/20,PMC7095448,,10.1038/s41564-020-0695-z
32161092,"Emergence of a Novel Coronavirus, Severe Acute Respiratory Syndrome Coronavirus 2: Biology and Therapeutic Options","Khan S, Siddique R, Shereen MA, Ali A, Liu J, Bai Q, Bashir N, Xue M.",J Clin Microbiol. 2020 Apr 23;58(5):e00187-20. doi: 10.1128/JCM.00187-20. Print 2020 Apr 23.,Khan S,J Clin Microbiol,2020,3/13/20,PMC7180238,,10.1128/JCM.00187-20
26719272,Isolation and Characterization of a Novel Bat Coronavirus Closely Related to the Direct Progenitor of Severe Acute Respiratory Syndrome Coronavirus,"Yang XL, Hu B, Wang B, Wang MN, Zhang Q, Zhang W, Wu LJ, Ge XY, Zhang YZ, Daszak P, Wang LF, Shi ZL.",J Virol. 2015 Dec 30;90(6):3253-6. doi: 10.1128/JVI.02582-15.,Yang XL,J Virol,2015,1/1/16,PMC4810638,,10.1128/JVI.02582-15
26552008,A SARS-like cluster of circulating bat coronaviruses shows potential for human emergence,"Menachery VD, Yount BL Jr, Debbink K, Agnihothram S, Gralinski LE, Plante JA, Graham RL, Scobey T, Ge XY, Donaldson EF, Randell SH, Lanzavecchia A, Marasco WA, Shi ZL, Baric RS.",Nat Med. 2015 Dec;21(12):1508-13. doi: 10.1038/nm.3985. Epub 2015 Nov 9.,Menachery VD,Nat Med,2015,11/10/15,PMC4797993,NIHMS766724,10.1038/nm.3985
30832341,Bat Coronaviruses in China,"Fan Y, Zhao K, Shi ZL, Zhou P.",Viruses. 2019 Mar 2;11(3):210. doi: 10.3390/v11030210.,Fan Y,Viruses,2019,3/6/19,PMC6466186,,10.3390/v11030210
31226023,Human Coronavirus: Host-Pathogen Interaction,"Fung TS, Liu DX.",Annu Rev Microbiol. 2019 Sep 8;73:529-557. doi: 10.1146/annurev-micro-020518-115759. Epub 2019 Jun 21.,Fung TS,Annu Rev Microbiol,2019,6/22/19,,,10.1146/annurev-micro-020518-115759
30844511,"Molecular epidemiology, evolution and phylogeny of SARS coronavirus","Luk HKH, Li X, Fung J, Lau SKP, Woo PCY.",Infect Genet Evol. 2019 Jul;71:21-30. doi: 10.1016/j.meegid.2019.03.001. Epub 2019 Mar 4.,Luk HKH,Infect Genet Evol,2019,3/8/19,PMC7106202,,10.1016/j.meegid.2019.03.001
28659436,Broad-spectrum antiviral GS-5734 inhibits both epidemic and zoonotic coronaviruses,"Sheahan TP, Sims AC, Graham RL, Menachery VD, Gralinski LE, Case JB, Leist SR, Pyrc K, Feng JY, Trantcheva I, Bannister R, Park Y, Babusis D, Clarke MO, Mackman RL, Spahn JE, Palmiotti CA, Siegel D, Ray AS, Cihlar T, Jordan R, Denison MR, Baric RS.",Sci Transl Med. 2017 Jun 28;9(396):eaal3653. doi: 10.1126/scitranslmed.aal3653.,Sheahan TP,Sci Transl Med,2017,6/30/17,PMC5567817,NIHMS895143,10.1126/scitranslmed.aal3653
26695637,"MERS coronavirus: diagnostics, epidemiology and transmission","Mackay IM, Arden KE.",Virol J. 2015 Dec 22;12:222. doi: 10.1186/s12985-015-0439-5.,Mackay IM,Virol J,2015,12/24/15,PMC4687373,,10.1186/s12985-015-0439-5
19036930,Synthetic recombinant bat SARS-like coronavirus is infectious in cultured cells and in mice,"Becker MM, Graham RL, Donaldson EF, Rockx B, Sims AC, Sheahan T, Pickles RJ, Corti D, Johnston RE, Baric RS, Denison MR.",Proc Natl Acad Sci U S A. 2008 Dec 16;105(50):19944-9. doi: 10.1073/pnas.0808116105. Epub 2008 Nov 26.,Becker MM,Proc Natl Acad Sci U S A,2008,11/28/08,PMC2588415,,10.1073/pnas.0808116105
26689940,Bat origin of human coronaviruses,"Hu B, Ge X, Wang LF, Shi Z.",Virol J. 2015 Dec 22;12:221. doi: 10.1186/s12985-015-0422-1.,Hu B,Virol J,2015,12/23/15,PMC4687304,,10.1186/s12985-015-0422-1
30791586,Global Epidemiology of Bat Coronaviruses,"Wong ACP, Li X, Lau SKP, Woo PCY.",Viruses. 2019 Feb 20;11(2):174. doi: 10.3390/v11020174.,Wong ACP,Viruses,2019,2/23/19,PMC6409556,,10.3390/v11020174
29551135,Hosts and Sources of Endemic Human Coronaviruses,"Corman VM, Muth D, Niemeyer D, Drosten C.",Adv Virus Res. 2018;100:163-188. doi: 10.1016/bs.aivir.2018.01.001. Epub 2018 Feb 16.,Corman VM,Adv Virus Res,2018,3/20/18,PMC7112090,,10.1016/bs.aivir.2018.01.001
30999711,Discovery and Characterization of Novel Bat Coronavirus Lineages from Kazakhstan,"Mendenhall IH, Kerimbayev AA, Strochkov VM, Sultankulova KT, Kopeyev SK, Su YCF, Smith GJD, Orynbayev MB.",Viruses. 2019 Apr 17;11(4):356. doi: 10.3390/v11040356.,Mendenhall IH,Viruses,2019,4/20/19,PMC6521082,,10.3390/v11040356
