Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats,"Lau, SKP; Woo, PCY; Li, KSM; Huang, Y; Tsoi, HW; Wong, BHL; Wong, SSY; Leung, SY; Chan, KH; Yuen, KY",,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,SEP 27 2005,2005,102,39,,,,14040,14045,,10.1073/pnas.0506735102,,,732,45.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,63,68,61,46,45,36,40,50,50,37,41,34,31,36,88,0
Carbon Nanosheet Frameworks Derived from Peat Moss as High Performance Sodium Ion Battery Anodes,"Ding, Jia; Wang, Huanlei; Li, Zhi; Kohandehghan, Alireza; Cui, Kai; Xu, Zhanwei; Zahiri, Beniamin; Tan, Xuehai; Lotfabad, Elmira Memarzadeh; Olsen, Brian C.; Mitlin, David",,,,ACS NANO,DEC 2013,2013,7,12,,,,11004,11015,,10.1021/nn404640c,,,570,71.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,70,84,97,113,116,69,0
Isolation and characterization of a bat SARS-like coronavirus that uses the ACE2 receptor,"Ge, Xing-Yi; Li, Jia-Lu; Yang, Xing-Lou; Chmura, Aleksei A.; Zhu, Guangjian; Epstein, Jonathan H.; Mazet, Jonna K.; Hu, Ben; Zhang, Wei; Peng, Cheng; Zhang, Yu-Ji; Luo, Chu-Ming; Tan, Bing; Wang, Ning; Zhu, Yan; Crameri, Gary; Zhang, Shu-Yi; Wang, Lin-Fa; Daszak, Peter; Shi, Zheng-Li",,,,NATURE,NOV 28 2013,2013,503,7477,,,,535,+,,10.1038/nature12711,,,471,58.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,44,56,55,42,39,194,0
"Emerging coronaviruses: Genome structure, replication, and pathogenesis","Chen, Yu; Liu, Qianyun; Guo, Deyin",,,,JOURNAL OF MEDICAL VIROLOGY,APR 2020,2020,92,4,,,SI,418,423,,10.1002/jmv.25681,,,317,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316,0
Advanced backcross QTL analysis in a cross between an elite processing line of tomato and its wild relative L-pimpinellifolium,"Tanksley, SD; Grandillo, S; Fulton, TM; Zamir, D; Eshed, Y; Petiard, V; Lopez, J; BeckBunn, T",,,,THEORETICAL AND APPLIED GENETICS,FEB 1996,1996,92,2,,,,213,224,,,,,292,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,12,10,14,15,18,22,15,13,15,13,13,7,17,9,13,10,11,8,12,6,9,6,0
Middle East Respiratory Syndrome Coronavirus: Another Zoonotic Betacoronavirus Causing SARS-Like Disease,"Chan, Jasper F. W.; Lau, Susanna K. P.; To, Kelvin K. W.; Cheng, Vincent C. C.; Woo, Patrick C. Y.; Yuen, Kwok-Yung",,,,CLINICAL MICROBIOLOGY REVIEWS,APR 2015,2015,28,2,,,,465,522,,10.1128/CMR.00102-14,,,264,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,21,23,40,114,0
Severe acute respiratory syndrome coronavirus as an agent of emerging and reemerging infection,"Cheng, Vincent C. C.; Lau, Susanna K. P.; Woo, Patrick C. Y.; Yuen, Kwok Yung",,,,CLINICAL MICROBIOLOGY REVIEWS,OCT 2007,2007,20,4,,,,660,+,,10.1128/CMR.00023-07,,,229,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,9,5,9,12,15,10,15,2,5,7,117,0
Identification of a novel coronavirus in bats,"Poon, LLM; Chu, DKW; Chan, KH; Wong, OK; Ellis, TM; Leung, YHC; Lau, SKP; Woo, PCY; Suen, KY; Yuen, KY; Guan, Y; Peiris, JSM",,,,JOURNAL OF VIROLOGY,FEB 2005,2005,79,4,,,,2001,2009,,10.1128/JVI.79.4.2001-2009.2005,,,204,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,20,26,11,12,15,9,14,8,11,11,9,7,5,15,0
The Feasibility of Canine Rabies Elimination in Africa: Dispelling Doubts with Data,"Lembo, Tiziana; Hampson, Katie; Kaare, Magai T.; Ernest, Eblate; Knobel, Darryn; Kazwala, Rudovick R.; Haydon, Daniel T.; Cleaveland, Sarah",,,,PLOS NEGLECTED TROPICAL DISEASES,FEB 2010,2010,4,2,,,,,,e626,10.1371/journal.pntd.0000626,,,195,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16,20,19,23,11,31,24,19,21,0
Global Conservation Significance of Ecuador's Yasuni National Park,"Bass, Margot S.; Finer, Matt; Jenkins, Clinton N.; Kreft, Holger; Cisneros-Heredia, Diego F.; McCracken, Shawn F.; Pitman, Nigel C. A.; English, Peter H.; Swing, Kelly; Villa, Gorky; Di Fiore, Anthony; Voigt, Christian C.; Kunz, Thomas H.",,,,PLOS ONE,JAN 19 2010,2010,5,1,,,,,,e8767,10.1371/journal.pone.0008767,,,195,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,11,22,20,19,16,27,18,30,14,0
