UniqueID,title,author (from Imported table 2),journal (from Imported table 2),year (from Imported table 2),sample,positives,prevalence,bat_species,virus_genus,virus_genus_notes,virus_subgenus,virus_species,virus_strain,detection_type,study_type,detection_method,method_specific,single/multiple PCR method,gene_targets,Terminal sampling?,tissue,country,country_hemisphere,state,site,longitude,latitude,sample_year,start_year,start_month,end_year,end_month,sample_season,sample_season_simplified,# Sampling Trips,Sex Info?,Habitat Disturbance Info?,Coinfection Info?,Flag,Entered by,Last modified
2957,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,367,4,0.010899,Pteropus lylei,alphacoronavirus,,,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,January,,December,,Year,,,,,only use these two rows for prevalence estimates,VERENA Admin,4/12/2022 1:58pm
2958,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,367,64,0.174387,Pteropus lylei,betacoronavirus ,,,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,January,,December,,Year,,,,,only use these two rows for prevalence estimates,VERENA Admin,4/12/2022 5:25pm
2173,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,253,1,0.003953,Carollia sowelli,alphacoronavirus,,,,Mex Cov 2,single,cross-sectional,RNA,RT-PCR,single,,,oral swab,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Forested","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2174,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,253,2,0.007905,Artibeus phaeotis,betacoronavirus ,,,,"Mex Cov 11a (1), Mex Cov 11b (1)",single,cross-sectional,RNA,RT-PCR,single,,,oral swab,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Forested","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/25/2022 8:35pm
2177,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,253,1,0.003953,Lonchorhina aurita,alphacoronavirus,,,,Mex Cov 3,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Forested","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2178,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,253,1,0.003953,Artibeus jamaicensis,alphacoronavirus,,,,Mex Cov 5a,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Forested","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2182,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,142,1,0.007042,Artibeus jamaicensis,alphacoronavirus,,,,Mex Cov 5a,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Fragmented","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2183,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,142,1,0.007042,Eptesicus fuscus,alphacoronavirus,,,,Mex Cov 6,single,cross-sectional,RNA,RT-PCR,single,,,blood,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Fragmented","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2184,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,293,1,0.003413,Carollia sowelli,alphacoronavirus,,,,Mex Cov 1,single,cross-sectional,RNA,RT-PCR,single,,,oral swab,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2186,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,293,1,0.003413,Carollia sowelli,alphacoronavirus,,,,Mex Cov 1,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Chiapas,Montes Azules,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
