"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","method_specific_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"1",2957,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,4,0.010899,"Pteropus lylei","alphacoronavirus","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 1:58pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","PCR",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","1","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand",0.110637846498115,0.000680272108843537,0.0108991825613079,"Pteropus lylei","Pteropus lylei","PTEROPODIDAE"
"45",2,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,47,17,0.361702,"Myotis lucifugus","alphacoronavirus","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","","NA","NA","2011","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","0","0","1","0",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","2","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",0.648235898772196,0.00526315789473684,0.361702127659574,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
"46",3,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,127,36,0.283465,"Myotis lucifugus","alphacoronavirus","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","","NA","NA","2012","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","0","0","1","0",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","3","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",0.563315921945108,0.00196078431372549,0.283464566929134,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
"64",31,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,5,0.357143,"Molossus rufus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","4","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.650099455836335,0.0172413793103448,0.357142857142857,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"65",35,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,3,0.214286,"Molossus rufus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","5","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.503143355625229,0.0172413793103448,0.214285714285714,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"66",36,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,1,0.071429,"Molossus rufus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","6","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.317474792868767,0.0172413793103448,0.0714285714285714,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"70",40,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,2,0.4,"Phyllostomus discolor","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","7","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.700438936033918,0.0454545454545455,0.4,"Phyllostomus discolor","Phyllostomus discolor","PHYLLOSTOMIDAE"
"73",44,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,1,0.076923,"Artibeus literatus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Artibeus lituratus","Artibeus lituratus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","8","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.329073224816877,0.0185185185185185,0.0769230769230769,"Artibeus lituratus","Artibeus lituratus","PHYLLOSTOMIDAE"
"78",51,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,1,1,"Glossophaga soricina","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Glossophaga soricina","Glossophaga soricina","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","9","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",1.17809724509617,0.166666666666667,1,"Glossophaga soricina","Glossophaga soricina","PHYLLOSTOMIDAE"
"85",59,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,1,0.076923,"Molossus molossus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","10","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.329073224816877,0.0185185185185185,0.0769230769230769,"Molossus molossus","Molossus molossus","MOLOSSIDAE"
"112",89,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,11,1,0.090909,"Molossus molossus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","Barreiras","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","PCR",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","11","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.35668855350627,0.0217391304347826,0.0909090909090909,"Molossus molossus","Molossus molossus","MOLOSSIDAE"
