"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"3:313","15n-labeling of egg proteins for studying protein network formation during pound cake making","Deleu et al.","Cereal Chemistry",2017,"",1,"Deleu et al. 2017 Cereal Chemistry","CAB","","","",""
"2:201","2019_ncov/sars-cov-2: rapid classification of betacoronaviruses and identification of traditional chinese medicine as potential origin of zoonotic coronaviruses","Wassenaar & Zou","Lett Appl Microbiol",2020,"10.1111/lam.13285",2,"Wassenaar & Zou 2020 Lett Appl Microbiol","PubMed","","","",""
"2:59","2019-ncov (wuhan virus), a novel coronavirus: human-to-human transmission, travel-related cases, and vaccine readiness","Ralph et al.","J Infect Dev Ctries",2020,"10.3855/jidc.12425",3,"Ralph et al. 2020 J Infect Dev Ctries","PubMed","","","",""
"1:279","a burning question: what are the risks and benefits of mammalian torpor during and after fires?","Geiser et al.","Conservation Physiology",2018,"10.1093/conphys/coy057",4,"Geiser et al. 2018 Conservation Physiology","WOS","","","",""
"2:389","a case for the ancient origin of coronaviruses","Wertheim et al.","J Virol",2013,"10.1128/JVI.03273-12",5,"Wertheim et al. 2013 J Virol","PubMed","","","",""
"1:207","a case study of urban and peri-urban mammal communities: implications for the management of national park service areas","Chupp et al.","Northeastern Naturalist",2013,"10.1656/045.020.0415",6,"Chupp et al. 2013 Northeastern Naturalist","WOS","","","",""
"3:185","a comparative analysis of viral richness and viral sharing in cave-roosting bats","Willoughby et al.","Diversity",2017,"10.3390/d9030035",7,"Willoughby et al. 2017 Diversity","CAB","","","",""
"2:225","a comprehensive analysis of genome composition and codon usage patterns of emerging coronaviruses","Tort et al.","Virus Res",2020,"10.1016/j.virusres.2020.197976",8,"Tort et al. 2020 Virus Res","PubMed","","","",""
"2:349","a coronavirus detected in the vampire bat desmodus rotundus","Brandão et al.","Braz J Infect Dis",2008,"10.1590/s1413-86702008000600003",9,"Brandão et al. 2008 Braz J Infect Dis","PubMed","","","",""
"1:203","a critical review on unmanned aerial vehicles power supply and energy management: solutions, strategies, and prospects","Boukoberine et al.","Applied Energy",2019,"10.1016/j.apenergy.2019.113823",10,"Boukoberine et al. 2019 Applied Energy","WOS","","","",""
"1:135","a de novo assembly of the common frog (rana temporaria) transcriptome and comparison of transcription following exposure to ranavirus and batrachochytrium dendrobatidis","Price et al.","Plos One",2015,"10.1371/journal.pone.0130500",11,"Price et al. 2015 Plos One","WOS","","","",""
"1:29","a domain contributing to the ion channel of atp-gated p2x(2) receptors identified by the substituted cysteine accessibility method","Egan et al.","Journal of Neuroscience",1998,"",12,"Egan et al. 1998 Journal of Neuroscience","WOS","","","",""
"1:33","a framework for the study of zoonotic disease emergence and its drivers: spillover of bat pathogens as a case study","Wood et al.","Philosophical Transactions of The Royal Society B-biological Sciences",2012,"10.1098/rstb.2012.0228",13,"Wood et al. 2012 Philosophical Transactions of The Royal Society B-biological Sciences","WOS","","","",""
"1:206","a further cost for the sicker sex? evidence for male-biased parasite-induced vulnerability to predation","Stephenson et al.","Ecology and Evolution",2016,"10.1002/ece3.2049",14,"Stephenson et al. 2016 Ecology and Evolution","WOS","","","",""
"1:231","a genome-wide bac-end sequence survey provides first insights into sweetpotato (ipomoea batatas (l.) lam.) genome composition","Si et al.","Bmc Genomics",2016,"10.1186/s12864-016-3302-1",15,"Si et al. 2016 Bmc Genomics","WOS","","","",""
"2:46","a genomic perspective on the origin and emergence of sars-cov-2","Zhang & Holmes","Cell",2020,"10.1016/j.cell.2020.03.035",16,"Zhang & Holmes 2020 Cell","PubMed","","","",""
"1:55","a live attenuated severe acute respiratory syndrome coronavirus is immunogenic and efficacious in golden syrian hamsters","Lamirande et al.","Journal of Virology",2008,"10.1128/JVI.00304-08",17,"Lamirande et al. 2008 Journal of Virology","WOS","","","",""
"2:229","a mathematical model for simulating the phase-based transmissibility of a novel coronavirus","Chen et al.","Infect Dis Poverty",2020,"10.1186/s40249-020-00640-3",18,"Chen et al. 2020 Infect Dis Poverty","PubMed","","","",""
"2:361","a metagenomic viral discovery approach identifies potential zoonotic and novel mammalian viruses in neoromicia bats within south africa","Geldenhuys et al.","Plos One",2018,"10.1371/journal.pone.0194527",19,"Geldenhuys et al. 2018 Plos One","PubMed","","","",""
"1:407","a modest analysis of energy aware routing mechanisms for wireless sensor networks","Ravindran & Manikandan","2013 Fifth International Conference On Advanced Computing (icoac)",2013,"",20,"Ravindran & Manikandan 2013 2013 Fifth International Conference On Advanced Computing (icoac)","WOS","","","",""
"2:203","a mouse model for betacoronavirus subgroup 2c using a bat coronavirus strain hku5 variant","Agnihothram et al.","Mbio",2014,"10.1128/mBio.00047-14",21,"Agnihothram et al. 2014 Mbio","PubMed","","","",""
"3:301","a need for standardized rabies-virus diagnostic procedures: effect of cover-glass mountant on the reliability of antigen detection by the fluorescent antibody test","Rudd et al.","Virus Research",2005,"10.1016/j.virusres.2005.03.014",22,"Rudd et al. 2005 Virus Research","CAB","","","",""
"2:130","a new bat-hku2-like coronavirus in swine, china, 2017","Gong et al.","Emerg Infect Dis",2017,"10.3201/eid2309.170915",23,"Gong et al. 2017 Emerg Infect Dis","PubMed","","","",""
"3:317","a new black fly species of simulium (gomphostilbia) (diptera: simuliidae) from thailand","Takaoka et al.","Journal of Medical Entomology",2017,"10.1093/jme/tjx147",24,"Takaoka et al. 2017 Journal of Medical Entomology","CAB","","","",""
"2:131","a novel bat coronavirus closely related to sars-cov-2 contains natural insertions at the s1/s2 cleavage site of the spike protein","Zhou et al.","Curr Biol",2020,"10.1016/j.cub.2020.05.023",25,"Zhou et al. 2020 Curr Biol","PubMed","","","",""
"3:259","a novel bat herpesvirus encodes homologues of major histocompatibility complex classes i and ii, c-type lectin, and a unique family of immune-related genes","Zhang HuaJun et al.","Journal of Virology",2012,"10.1128/JVI.00723-12",26,"Zhang HuaJun et al. 2012 Journal of Virology","CAB","","","",""
"2:154","a novel coronavirus, mers-cov","Mizutani","Uirusu",2013,"10.2222/jsv.63.1",27,"Mizutani 2013 Uirusu","PubMed","","","",""
"2:394","a novel pathogenic mammalian orthoreovirus from diarrheic pigs and swine blood meal in the united states","Thimmasandra et al.","Mbio",2015,"10.1128/mBio.00593-15",28,"Thimmasandra et al. 2015 Mbio","PubMed","","","",""
"1:359","a palindromic rna sequence as a common breakpoint contributor to copy-choice recombination in sars-cov-2","Gallaher","Archives of Virology",2020,"10.1007/s00705-020-04750-z",29,"Gallaher 2020 Archives of Virology","WOS","","","",""
"2:212","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,"10.1099/jgv.0.000898",30,"Subudhi et al. 2017 J Gen Virol","PubMed","","","",""
"2:34","a pneumonia outbreak associated with a new coronavirus of probable bat origin","Zhou et al.","Nature",2020,"10.1038/s41586-020-2012-7",31,"Zhou et al. 2020 Nature","PubMed","","","",""
"1:94","a prospective power analysis and review of habitat characteristics used in studies of tree-roosting bats","Lacki & Baker","Acta Chiropterologica",2003,"10.3161/001.005.0211",32,"Lacki & Baker 2003 Acta Chiropterologica","WOS","","","",""
"2:301","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,"10.1100/2012/989514",33,"Balboni et al. 2012 Scientificworldjournal","PubMed","","","",""
