"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","method_specific_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"1",2957,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,4,0.010899,"Pteropus lylei","alphacoronavirus","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 1:58pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","PCR",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","1","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand",0.110637846498115,0.000680272108843537,0.0108991825613079,"Pteropus lylei","Pteropus lylei","PTEROPODIDAE"
"2",2958,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,64,0.174387,"Pteropus lylei","betacoronavirus","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 5:25pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","PCR",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","2","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand",0.431960691242352,0.000680272108843537,0.174386920980926,"Pteropus lylei","Pteropus lylei","PTEROPODIDAE"
"44",1,"a coronavirus detected in the vampire bat desmodus rotundus","Brandão et al.","Braz J Infect Dis",2008,3,1,0.333333,"Desmodus rotundus","betacoronavirus","","bat","BatCoV DR/2007","pooled","cross-sectional","RNA","RT-PCR,nested RT-PCR","multiple","ORF 1b",NA,"enteric content","Brazil","S","Sao Paulo","","NA","NA","2005","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","1","1","1","1",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Desmodus rotundus","Desmodus rotundus","a coronavirus detected in the vampire bat desmodus rotundus","3","a coronavirus detected in the vampire bat desmodus rotundus",0.654498469497874,0.0714285714285714,0.333333333333333,"Desmodus rotundus","Desmodus rotundus","PHYLLOSTOMIDAE"
"45",2,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,47,17,0.361702,"Myotis lucifugus","alphacoronavirus","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","","NA","NA","2011","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","0","0","1","0",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","4","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",0.648235898772196,0.00526315789473684,0.361702127659574,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
"46",3,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,127,36,0.283465,"Myotis lucifugus","alphacoronavirus","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","","NA","NA","2012","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","0","0","1","0",NA,NA,"Yes, BUT for previous study or rabies surveillance","PCR",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","5","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",0.563315921945108,0.00196078431372549,0.283464566929134,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
"48",9,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,11,10,0.909091,"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Modena ","San Cesario sul Panaro","NA","NA","2009","","",NA,"","August","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","PCR",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","6","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",1.21410777328863,0.0217391304347826,0.909090909090909,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"49",10,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,1,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Perugia","Sigillo","NA","NA","2009","","",NA,"","September","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","7","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.392699081698724,0.166666666666667,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"50",11,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,2,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Bologna","Monte Croara, S. Lazzaro","NA","NA","2009","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","8","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.307739854335194,0.1,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"51",12,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,10,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus or gammacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Cuneo","Piobesi d’Alba","NA","NA","2009","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","9","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.153138684584835,0.0238095238095238,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"52",13,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,12,3,0.25,"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Cuneo","Rossana","NA","NA","2009","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","10","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.544547808406462,0.02,0.25,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
