"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"1",2957,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,4,0.010899,"Pteropus lylei","alphacoronavirus","","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 1:58pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","1","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand",0.110637846498115,0.000680272108843537,0.0108991825613079,"Pteropus lylei","Pteropus lylei","PTEROPODIDAE"
"45",2,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,47,17,0.361702,"Myotis lucifugus","alphacoronavirus","","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","","NA","NA","2011","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","tissue","0","0","1","0",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","2","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",0.648235898772196,0.00526315789473684,0.361702127659574,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
"46",3,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,127,36,0.283465,"Myotis lucifugus","alphacoronavirus","","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","","NA","NA","2012","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","tissue","0","0","1","0",NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","3","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",0.563315921945108,0.00196078431372549,0.283464566929134,"Myotis lucifugus","Myotis lucifugus","VESPERTILIONIDAE"
"56",20,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,12,0.75,"Myotis nattereri","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","1","1",52.2908333333333,-1.56138888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","alphacoronavirus detected in bats in the united kingdom","4","alphacoronavirus detected in bats in the united kingdom",1.03097235053772,0.0151515151515152,0.75,"Myotis nattereri","Myotis nattereri","VESPERTILIONIDAE"
"57",21,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,9,0.5625,"Myotis nattereri","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Wiltshire","Savernake Forest","-1º67'75""E","51º39’96""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","1","1",51.6766666666667,-2.1375,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","alphacoronavirus detected in bats in the united kingdom","5","alphacoronavirus detected in bats in the united kingdom",0.844462440994311,0.0151515151515152,0.5625,"Myotis nattereri","Myotis nattereri","VESPERTILIONIDAE"
"58",22,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,30,5,0.166667,"Myotis daubentonii","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","1","1",52.2908333333333,-1.56138888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","Myotis daubentonii","alphacoronavirus detected in bats in the united kingdom","6","alphacoronavirus detected in bats in the united kingdom",0.434403582736407,0.00819672131147541,0.166666666666667,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"64",31,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,5,0.357143,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","7","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.650099455836335,0.0172413793103448,0.357142857142857,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"65",35,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,3,0.214286,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","8","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.503143355625229,0.0172413793103448,0.214285714285714,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"66",36,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,1,0.071429,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","9","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.317474792868767,0.0172413793103448,0.0714285714285714,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"70",40,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,2,0.4,"Phyllostomus discolor","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","10","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.700438936033918,0.0454545454545455,0.4,"Phyllostomus discolor","Phyllostomus discolor","PHYLLOSTOMIDAE"
